location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Holstenstraße (Mitte), Kiel;2020-11-05 00:00:00 +0100;Thursday;12651;11;rain;
Holstenstraße (Mitte), Kiel;2020-11-06 00:00:00 +0100;Friday;14270;14;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-11-07 00:00:00 +0100;Saturday;18842;10;clear-day;
Holstenstraße (Mitte), Kiel;2020-11-08 00:00:00 +0100;Sunday;3698;11;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-11-09 00:00:00 +0100;Monday;12400;8;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-11-10 00:00:00 +0100;Tuesday;11917;7;cloudy;
Holstenstraße (Mitte), Kiel;2020-11-11 00:00:00 +0100;Wednesday;11220;7;cloudy;
Holstenstraße (Mitte), Kiel;2020-11-12 00:00:00 +0100;Thursday;11755;11;rain;
Holstenstraße (Mitte), Kiel;2020-11-13 00:00:00 +0100;Friday;14682;10;rain;
Holstenstraße (Mitte), Kiel;2020-11-14 00:00:00 +0100;Saturday;18425;11;rain;
Holstenstraße (Mitte), Kiel;2020-11-15 00:00:00 +0100;Sunday;4572;15;rain;
Holstenstraße (Mitte), Kiel;2020-11-16 00:00:00 +0100;Monday;11623;11;rain;
Holstenstraße (Mitte), Kiel;2020-11-17 00:00:00 +0100;Tuesday;10589;13;rain;
Holstenstraße (Mitte), Kiel;2020-11-18 00:00:00 +0100;Wednesday;12486;12;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-11-19 00:00:00 +0100;Thursday;11337;11;rain;
Holstenstraße (Mitte), Kiel;2020-11-20 00:00:00 +0100;Friday;14324;7;clear-day;
Holstenstraße (Mitte), Kiel;2020-11-21 00:00:00 +0100;Saturday;14360;9;rain;
Holstenstraße (Mitte), Kiel;2020-11-21 00:00:00 +0100;Saturday;21;;;
Holstenstraße (Mitte), Kiel;2020-11-22 00:00:00 +0100;Sunday;4178;10;rain;
Holstenstraße (Mitte), Kiel;2020-11-23 00:00:00 +0100;Monday;14357;9;rain;
Holstenstraße (Mitte), Kiel;2020-11-24 00:00:00 +0100;Tuesday;13284;9;cloudy;
Holstenstraße (Mitte), Kiel;2020-11-25 00:00:00 +0100;Wednesday;14132;7;cloudy;
Holstenstraße (Mitte), Kiel;2020-11-26 00:00:00 +0100;Thursday;14795;9;rain;
Holstenstraße (Mitte), Kiel;2020-11-27 00:00:00 +0100;Friday;25786;6;clear-day;
Holstenstraße (Mitte), Kiel;2020-11-28 00:00:00 +0100;Saturday;24381;5;clear-day;
Holstenstraße (Mitte), Kiel;2020-11-29 00:00:00 +0100;Sunday;4409;4;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-11-30 00:00:00 +0100;Monday;16118;3;rain;
Holstenstraße (Mitte), Kiel;2020-12-01 00:00:00 +0100;Tuesday;15691;5;rain;
Holstenstraße (Mitte), Kiel;2020-12-02 00:00:00 +0100;Wednesday;15305;4;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-12-03 00:00:00 +0100;Thursday;14330;1;cloudy;
Holstenstraße (Mitte), Kiel;2020-12-04 00:00:00 +0100;Friday;16978;4;cloudy;
Holstenstraße (Mitte), Kiel;2020-12-05 00:00:00 +0100;Saturday;24471;4;rain;
Holstenstraße (Mitte), Kiel;2020-12-06 00:00:00 +0100;Sunday;5302;7;rain;
Holstenstraße (Mitte), Kiel;2020-12-07 00:00:00 +0100;Monday;15790;8;rain;
Holstenstraße (Mitte), Kiel;2020-12-08 00:00:00 +0100;Tuesday;15983;7;partly-cloudy-day;
Holstenstraße (Mitte), Kiel;2020-12-09 00:00:00 +0100;Wednesday;14381;4;rain;
Holstenstraße (Mitte), Kiel;2020-12-10 00:00:00 +0100;Thursday;14649;3;rain;
Holstenstraße (Mitte), Kiel;2020-12-11 00:00:00 +0100;Friday;16462;2;cloudy;
Holstenstraße (Mitte), Kiel;2020-12-12 00:00:00 +0100;Saturday;21643;3;rain;
Holstenstraße (Mitte), Kiel;2020-12-13 00:00:00 +0100;Sunday;3768;3;rain;
Holstenstraße (Mitte), Kiel;2020-12-14 00:00:00 +0100;Monday;17942;7;rain;
Holstenstraße (Mitte), Kiel;2020-12-15 00:00:00 +0100;Tuesday;19636;8;rain;
Holstenstraße (Mitte), Kiel;2020-12-16 00:00:00 +0100;Wednesday;5464;8;partly-cloudy-day;
